split_id,seed,model,rows,labeled_rows,roc_auc,balanced_accuracy,f1,precision_at_3,rank_ic,portfolio_net_return_mean,portfolio_alpha_mean,portfolio_sharpe,portfolio_max_drawdown,portfolio_turnover_mean
split_01_2019-01,42,rbf_svm,44,24,0.5416666666666667,0.5,0.5,0.3333333333333333,0.18409090909090908,0.006702102731830419,0.000379126785954019,1.8973615004186999,-0.06809142155226056,0.6354166666666666
split_01_2019-01,42,small_mlp,44,24,0.5694444444444444,0.5,0.5,0.3333333333333333,0.10909090909090913,0.004011894255894851,-0.0023110816899815484,1.1352463984918575,-0.07535806845321891,0.7604166666666666
split_01_2019-01,42,xgboost,44,24,0.3055555555555555,0.3333333333333333,0.3333333333333333,0.08333333333333333,-0.21952290894215004,0.001959628146167601,-0.004363347799708798,0.6006306634361146,-0.06815751934493464,0.6979166666666666
split_01_2019-01,42,pennylane_qnn,44,24,0.4236111111111111,0.5,0.5,0.3333333333333333,-0.024999999999999988,0.005910055586385675,-0.00041292035949072473,1.6116817548729268,-0.07143323390085154,0.5520833333333333
split_02_2019-02,42,naive_momentum,44,24,0.6319444444444445,0.5833333333333334,0.5833333333333334,0.41666666666666663,0.12272727272727271,0.003982932616911311,-0.002340043328965089,1.4070054931563105,-0.05811371490448769,0.3020833333333333
split_02_2019-02,42,logistic_regression,44,24,0.36111111111111116,0.3333333333333333,0.3333333333333333,0.25,-0.1159090909090909,0.005368544140275713,-0.0009544318056006869,1.4048446803585029,-0.07797322912059879,0.71875
split_02_2019-02,42,ridge_linear,44,24,0.36111111111111116,0.3333333333333333,0.3333333333333333,0.25,-0.11136363636363636,0.005368544140275713,-0.0009544318056006869,1.4048446803585029,-0.07797322912059879,0.71875
split_02_2019-02,42,random_forest,44,24,0.3194444444444444,0.3333333333333333,0.3333333333333333,0.08333333333333333,-0.17045454545454547,0.002488166628075603,-0.0038348093178007968,0.7401881272556602,-0.07229706025372973,0.6770833333333333
split_02_2019-02,42,rbf_svm,44,24,0.5555555555555556,0.5,0.5,0.49999999999999994,0.04772727272727273,0.006702102731830419,0.000379126785954019,1.8973615004186999,-0.06809142155226056,0.6354166666666666
split_02_2019-02,42,small_mlp,44,24,0.36111111111111116,0.3333333333333333,0.3333333333333333,0.25,-0.10454545454545455,0.004011894255894851,-0.0023110816899815484,1.1352463984918575,-0.07535806845321891,0.7604166666666666
split_02_2019-02,42,xgboost,44,24,0.4131944444444444,0.45833333333333337,0.48,0.25,-0.14779983423956528,0.001959628146167601,-0.004363347799708798,0.6006306634361146,-0.06815751934493464,0.6979166666666666
split_02_2019-02,42,pennylane_qnn,44,24,0.4652777777777778,0.4166666666666667,0.4166666666666667,0.25,0.059090909090909124,0.005910055586385675,-0.00041292035949072473,1.6116817548729268,-0.07143323390085154,0.5520833333333333
split_03_2019-03,42,naive_momentum,44,24,0.29166666666666663,0.4166666666666667,0.4166666666666667,0.25,-0.20681818181818185,0.003982932616911311,-0.002340043328965089,1.4070054931563105,-0.05811371490448769,0.3020833333333333
split_03_2019-03,42,logistic_regression,44,24,0.40277777777777773,0.5,0.5,0.08333333333333333,-0.07045454545454546,0.005368544140275713,-0.0009544318056006869,1.4048446803585029,-0.07797322912059879,0.71875
split_03_2019-03,42,ridge_linear,44,24,0.40277777777777773,0.5,0.5,0.08333333333333333,-0.07045454545454546,0.005368544140275713,-0.0009544318056006869,1.4048446803585029,-0.07797322912059879,0.71875
split_03_2019-03,42,random_forest,44,24,0.4756944444444444,0.5,0.5,0.25,-0.12416683982571594,0.002488166628075603,-0.0038348093178007968,0.7401881272556602,-0.07229706025372973,0.6770833333333333
split_03_2019-03,42,rbf_svm,44,24,0.4305555555555556,0.5,0.5,0.08333333333333333,-0.1431818181818182,0.006702102731830419,0.000379126785954019,1.8973615004186999,-0.06809142155226056,0.6354166666666666
split_03_2019-03,42,small_mlp,44,24,0.40277777777777773,0.5,0.5,0.08333333333333333,-0.07045454545454546,0.004011894255894851,-0.0023110816899815484,1.1352463984918575,-0.07535806845321891,0.7604166666666666
split_03_2019-03,42,xgboost,44,24,0.4583333333333333,0.5,0.5,0.16666666666666666,-0.14170286617433298,0.001959628146167601,-0.004363347799708798,0.6006306634361146,-0.06815751934493464,0.6979166666666666
split_03_2019-03,42,pennylane_qnn,44,24,,,,0.16666666666666666,,0.005910055586385675,-0.00041292035949072473,1.6116817548729268,-0.07143323390085154,0.5520833333333333
